timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1786312054.167000,1786.62,-21562.55,-12065.11,-13372.69,-13158.11,-10735.54,-4844.61,-6783.84
1786312054.167000,1783.94,-21561.47,-12073.96,-13370.54,-13160.53,-10739.30,-4848.63,-6780.36
1786312054.167000,1780.45,-21563.89,-12074.50,-13373.23,-13163.21,-10740.91,-4850.24,-6781.16
1786312054.167000,1785.28,-21566.84,-12065.65,-13376.98,-13157.31,-10737.15,-4846.48,-6777.67
1786312054.197000,1786.89,-21568.99,-12062.70,-13375.37,-13155.16,-10737.15,-4846.75,-6776.60
1786312054.197000,1783.67,-21567.91,-12069.94,-13374.84,-13158.11,-10737.96,-4848.09,-6778.48
1786312054.197000,1781.52,-21564.69,-12082.28,-13372.96,-13158.38,-10739.30,-4849.70,-6778.75
1786312054.197000,1779.91,-21563.35,-12082.55,-13375.91,-13159.99,-10739.83,-4849.70,-6779.28
1786312054.197000,1783.13,-21563.08,-12065.65,-13377.79,-13158.38,-10737.15,-4848.63,-6776.87
1786312054.226000,1783.94,-21563.35,-12058.94,-13375.37,-13158.38,-10741.71,-4847.82,-6774.99
1786312054.226000,1780.72,-21563.08,-12066.19,-13373.76,-13159.99,-10742.78,-4849.70,-6777.41
1786312054.226000,1776.70,-21562.55,-12079.06,-13374.57,-13165.36,-10743.32,-4858.82,-6779.02
1786312054.226000,1776.96,-21562.82,-12080.94,-13375.37,-13165.89,-10745.20,-4860.16,-6781.16
1786312054.226000,1777.77,-21567.91,-12068.33,-13375.91,-13164.82,-10745.47,-4857.48,-6784.38
1786312054.229000,1777.77,-21568.18,-12069.14,-13376.71,-13161.06,-10742.25,-4853.19,-6781.43
1786312054.229000,1778.57,-21564.69,-12069.94,-13375.91,-13160.26,-10741.71,-4850.78,-6776.87
1786312054.229000,1779.11,-21562.82,-12074.77,-13373.49,-13161.06,-10742.52,-4847.56,-6778.75
1786312054.229000,1780.45,-21565.23,-12076.38,-13372.42,-13159.99,-10741.71,-4846.48,-6778.21
1786312054.229000,1779.11,-21565.23,-12068.87,-13374.03,-13160.80,-10744.13,-4849.97,-6778.48
1786312054.272000,1778.30,-21562.82,-12061.09,-13374.57,-13162.14,-10744.13,-4851.31,-6779.82
1786312054.272000,1778.84,-21563.35,-12070.21,-13371.89,-13162.41,-10747.88,-4854.53,-6779.55
1786312054.272000,1777.77,-21565.50,-12082.28,-13371.62,-13164.28,-10752.44,-4857.75,-6779.02
